threshold,falsePositives,truePositives,precision,recall,falsePositiveRate,f1,accuracy,falseOmissionRate,feature,group,falseNegatives,trueNegatives,dataset
0.073,7805.0,8688.0,0.5267689322742982,0.8759830611010284,0.3433485834946331,0.6579076899776608,0.7232771822358346,0.0761279940583029,sex_Female,0.0,1230.0,14927.0,Train
0.074,7683.0,8645.0,0.5294585987261147,0.8716475095785441,0.3379816998064402,0.658767050217176,0.7256967840735069,0.0779928930278152,sex_Female,0.0,1273.0,15049.0,Train
0.075,7539.0,8589.0,0.5325520833333334,0.8660012099213551,0.3316470174203765,0.6595254549642939,0.7283920367534457,0.0804382036073114,sex_Female,0.0,1329.0,15193.0,Train
0.076,7424.0,8555.0,0.5353901996370236,0.8625730994152047,0.3265880696815062,0.6606942889137739,0.7308728943338438,0.081758742726891,sex_Female,0.0,1363.0,15308.0,Train
0.077,7352.0,8507.0,0.5364146541396053,0.857733413994757,0.3234207284884744,0.6600457772432788,0.7316079632465544,0.0840331129771901,sex_Female,0.0,1411.0,15380.0,Train
0.078,7269.0,8472.0,0.5382123117972175,0.8542044767090139,0.3197694879465071,0.6603530924821701,0.7330781010719755,0.0855165887988645,sex_Female,0.0,1446.0,15463.0,Train
0.079,7181.0,8460.0,0.5408861326002173,0.852994555353902,0.3158982931550237,0.6619977307406393,0.7354058192955589,0.0857193250632018,sex_Female,0.0,1458.0,15551.0,Train
0.08,7119.0,8440.0,0.5424513143518221,0.8509780197620488,0.3131708604610241,0.6625583859952113,0.7366921898928025,0.0864782634134924,sex_Female,0.0,1478.0,15613.0,Train
0.081,7039.0,8420.0,0.5446665372921923,0.8489614841701956,0.3096515924687665,0.6635930172991291,0.7385298621745788,0.087138619044849,sex_Female,0.0,1498.0,15693.0,Train
0.082,6983.0,8406.0,0.5462343232178829,0.8475499092558983,0.3071881048741862,0.6643221243134311,0.7398162327718224,0.0875963153930826,sex_Female,0.0,1512.0,15749.0,Train
0.083,6914.0,8378.0,0.5478681663614962,0.8447267594273039,0.304152736230864,0.6646568821896072,0.7410719754977029,0.0887198986058301,sex_Female,0.0,1540.0,15818.0,Train
0.084,6829.0,8345.0,0.5499538684592066,0.8413994757007461,0.3004135139890903,0.6651522397576918,0.7426646248085758,0.090009155413138,sex_Female,0.0,1573.0,15903.0,Train
0.085,6751.0,8318.0,0.5519941601964298,0.8386771526517443,0.2969822276966391,0.6657862088285909,0.7442266462480858,0.0910073374665832,sex_Female,0.0,1600.0,15981.0,Train
0.086,6653.0,8292.0,0.5548343927735029,0.8360556563823351,0.2926711244061235,0.6670152435345695,0.7464318529862175,0.0918384637108161,sex_Female,0.0,1626.0,16079.0,Train
0.087,6568.0,8262.0,0.5571139581928524,0.8330308529945554,0.2889319021643498,0.6676903184095685,0.7481163859111791,0.0929292929292929,sex_Female,0.0,1656.0,16164.0,Train
0.088,6465.0,8227.0,0.5599646065886197,0.8295019157088123,0.2844008446243181,0.6685900040633889,0.7501990811638591,0.0941641608196903,sex_Female,0.0,1691.0,16267.0,Train
0.089,6367.0,8174.0,0.5621346537377072,0.8241580963904013,0.2800897413338025,0.6683838259945214,0.7515773353751914,0.0963057043459053,sex_Female,0.0,1744.0,16365.0,Train
0.09,6275.0,8116.0,0.5639635883538322,0.8183101431740271,0.2760425831427063,0.6677362293800649,0.7526186830015313,0.0986910564653047,sex_Female,0.0,1802.0,16457.0,Train
0.091,6229.0,8094.0,0.5651050757522865,0.8160919540229885,0.2740190040471582,0.6677942329111836,0.7533537519142419,0.0995252905549189,sex_Female,0.0,1824.0,16503.0,Train
0.092,6161.0,8076.0,0.5672543372901594,0.8142770719903206,0.2710276262537392,0.6686814324156488,0.7548851454823889,0.1000380166186933,sex_Female,0.0,1842.0,16571.0,Train
0.093,6117.0,8061.0,0.568556919170546,0.8127646702964307,0.2690920288579975,0.6690737051792829,0.7557733537519142,0.1005305326981377,sex_Female,0.0,1857.0,16615.0,Train
0.094,6084.0,8043.0,0.5693353153535783,0.8109497882637628,0.2676403308111912,0.6689956331877729,0.7562327718223584,0.1012255034281703,sex_Female,0.0,1875.0,16648.0,Train
0.095,6041.0,8029.0,0.5706467661691542,0.8095382133494656,0.2657487242653528,0.6694180423545106,0.7571209800918837,0.1016684607104413,sex_Female,0.0,1889.0,16691.0,Train
0.096,5989.0,8016.0,0.5723670117815066,0.8082274652147611,0.2634612000703853,0.6701500647912051,0.7583154670750383,0.1020112630732099,sex_Female,0.0,1902.0,16743.0,Train
0.097,5946.0,7999.0,0.5736106131229831,0.8065134099616859,0.2615695935245469,0.6704102585592758,0.7591117917304747,0.1025928896017107,sex_Female,0.0,1919.0,16786.0,Train
0.098,5902.0,7980.0,0.5748451231810978,0.8045977011494253,0.2596339961288052,0.6705882352941177,0.7598774885145483,0.1032608695652173,sex_Female,0.0,1938.0,16830.0,Train
0.099,5877.0,7970.0,0.5755759370260707,0.8035894333534986,0.2585342248812247,0.6707342730906797,0.7603369065849923,0.1036004892836249,sex_Female,0.0,1948.0,16855.0,Train
0.1,5857.0,7960.0,0.576101903452269,0.8025811655575721,0.2576544078831603,0.6707394143669686,0.7606431852986217,0.1039664418839271,sex_Female,0.0,1958.0,16875.0,Train
0.101,5840.0,7953.0,0.5765968244761835,0.8018753781004234,0.2569065634348055,0.6708278857914048,0.7609494640122512,0.1042053348889006,sex_Female,0.0,1965.0,16892.0,Train
0.102,5810.0,7944.0,0.5775774320197761,0.8009679370840895,0.255586837937709,0.6711726934775262,0.7615926493108729,0.1044665537679932,sex_Female,0.0,1974.0,16922.0,Train
0.103,5783.0,7940.0,0.5785906871675289,0.8005646299657189,0.254399084990322,0.6717143944841588,0.7622970903522205,0.1045067892428805,sex_Female,0.0,1978.0,16949.0,Train
0.104,5765.0,7933.0,0.579135640239451,0.7998588425085703,0.253607249692064,0.6718326558265584,0.7626339969372129,0.1047382861967074,sex_Female,0.0,1985.0,16967.0,Train
0.105,5734.0,7919.0,0.5800190434336776,0.7984472675942731,0.2522435333450642,0.6719273683763948,0.7631546707503829,0.1052271411275464,sex_Female,0.0,1999.0,16998.0,Train
0.106,5710.0,7910.0,0.5807635829662261,0.7975398265779391,0.2511877529473869,0.6721046817911462,0.7636140888208269,0.1055176037834997,sex_Female,0.0,2008.0,17022.0,Train
0.107,5687.0,7890.0,0.581129851955513,0.7955232909860859,0.2501759633996129,0.6716322621834433,0.7637059724349158,0.1063283175169087,sex_Female,0.0,2028.0,17045.0,Train
0.108,5657.0,7884.0,0.5822317406395392,0.79491833030853,0.2488562379025162,0.672151413103713,0.7644410413476264,0.1064419906850175,sex_Female,0.0,2034.0,17075.0,Train
